,loops,legs,edges,vertices,kinds
diagram_286.png,1,5,5,5,4
diagram_287.png,1,5,3,3,2
diagram_288.png,1,5,3,3,2
diagram_289.png,1,5,3,3,2
diagram_29.png,1,5,4,4,2
diagram_290.png,2,4,6,5,1
diagram_291.png,2,5,6,5,1
diagram_292.png,2,5,6,5,1
diagram_293.png,0,5,1,2,1
diagram_294.png,2,2,4,3,3
diagram_295.png,1,4,4,4,4
diagram_296.png,1,4,4,4,1
diagram_297.png,2,3,5,4,1
diagram_298.png,3,4,7,5,1
diagram_299.png,1,4,4,4,2
diagram_3.png,1,3,3,3,1
diagram_30.png,2,5,5,4,1
diagram_300.png,1,5,3,3,2
diagram_301.png,2,3,4,3,1
diagram_302.png,1,5,5,5,4
diagram_303.png,1,5,5,5,4
diagram_304.png,1,4,2,2,1
diagram_31.png,1,5,3,3,2
diagram_32.png,2,3,4,3,1
diagram_33.png,1,4,4,4,1
diagram_34.png,1,5,4,4,3
diagram_35.png,3,4,8,6,1
diagram_36.png,3,4,9,7,1
diagram_37.png,1,5,5,5,3
diagram_38.png,1,5,5,5,3
diagram_39.png,2,2,4,3,3
diagram_4.png,1,5,3,3,2
diagram_40.png,1,5,4,4,7
diagram_41.png,2,5,8,7,1
diagram_42.png,1,5,5,5,3
diagram_43.png,1,5,5,5,4
diagram_44.png,1,4,4,4,3
diagram_45.png,3,3,6,4,1
diagram_46.png,1,5,5,5,3
diagram_47.png,2,5,6,5,1
diagram_48.png,1,5,5,5,4
diagram_49.png,2,5,6,5,1
diagram_5.png,3,2,7,5,1
diagram_50.png,2,4,6,5,1
diagram_51.png,1,5,4,4,4
diagram_52.png,1,4,3,3,1
diagram_53.png,1,4,3,3,3
diagram_54.png,1,5,4,4,4
diagram_55.png,1,5,5,5,3
diagram_56.png,1,5,4,4,4
diagram_57.png,0,5,1,2,1
diagram_58.png,1,4,3,3,2
diagram_59.png,3,3,8,6,1
diagram_6.png,2,3,5,4,1
diagram_60.png,1,4,4,4,3
diagram_61.png,1,3,2,2,2
diagram_62.png,1,4,4,4,3
diagram_63.png,2,2,5,4,1
diagram_64.png,1,4,2,2,1
diagram_65.png,1,4,4,4,3
diagram_66.png,1,5,5,5,1
diagram_67.png,3,4,9,7,1
diagram_68.png,2,4,5,4,1
diagram_69.png,1,5,5,5,3
diagram_7.png,1,5,4,4,3
diagram_70.png,1,5,4,4,4
diagram_71.png,3,3,8,6,1
diagram_72.png,1,5,4,4,4
diagram_73.png,1,4,3,3,3
diagram_74.png,1,3,2,2,1
diagram_75.png,1,5,5,5,3
diagram_76.png,1,5,5,5,4
diagram_77.png,1,5,4,4,4
diagram_78.png,2,5,6,5,1
diagram_79.png,1,5,4,4,1
diagram_8.png,1,5,5,5,4
diagram_80.png,1,5,3,3,2
diagram_81.png,1,5,3,3,2
diagram_82.png,1,4,4,4,2
diagram_83.png,1,5,4,4,4
diagram_84.png,2,3,5,4,1
diagram_85.png,1,4,4,4,3
diagram_86.png,3,2,6,4,1
diagram_87.png,1,5,4,4,5
diagram_88.png,3,4,9,7,1
diagram_89.png,1,4,3,3,1
diagram_9.png,1,5,4,4,4
diagram_90.png,1,5,4,4,1
diagram_91.png,3,3,6,4,1
diagram_92.png,1,5,4,4,1
diagram_93.png,1,4,4,4,1
diagram_94.png,2,5,6,5,1
diagram_95.png,1,5,4,4,1
diagram_96.png,1,5,4,4,1
diagram_97.png,3,4,8,6,1
diagram_98.png,3,4,8,6,1
diagram_99.png,2,5,6,5,1
