,loops,legs,edges,vertices,kinds
diagram_250.png,1,4,3,3,3
diagram_251.png,0,5,1,2,1
diagram_252.png,2,3,5,4,1
diagram_253.png,1,5,4,4,1
diagram_254.png,1,6,5,5,1
diagram_255.png,2,4,6,5,1
diagram_256.png,1,4,4,4,2
diagram_257.png,2,5,6,5,1
diagram_258.png,0,4,0,1,1
diagram_259.png,1,5,5,5,3
diagram_26.png,1,4,4,4,3
diagram_260.png,1,4,3,3,3
diagram_261.png,1,4,4,4,1
diagram_262.png,1,4,2,2,1
diagram_263.png,0,6,2,3,1
diagram_264.png,2,3,5,4,1
diagram_265.png,2,2,4,3,3
diagram_266.png,3,2,8,6,1
diagram_267.png,1,4,2,2,1
diagram_268.png,1,4,3,3,1
diagram_269.png,2,4,5,4,1
diagram_27.png,1,6,5,5,3
diagram_270.png,1,6,5,5,1
diagram_271.png,1,4,3,3,2
diagram_272.png,3,4,9,7,1
diagram_273.png,1,4,2,2,2
diagram_274.png,2,2,5,4,1
diagram_275.png,1,4,3,3,3
diagram_276.png,1,5,4,4,3
diagram_277.png,0,5,1,2,1
diagram_278.png,1,4,3,3,4
diagram_279.png,1,5,5,5,3
diagram_28.png,1,6,5,5,4
diagram_280.png,2,4,5,4,1
diagram_281.png,1,4,2,2,2
diagram_282.png,1,6,5,5,1
diagram_283.png,1,5,4,4,2
diagram_284.png,1,5,5,5,1
diagram_285.png,1,4,3,3,1
diagram_286.png,1,5,4,4,4
diagram_287.png,2,2,4,3,3
diagram_288.png,1,5,5,5,3
diagram_289.png,1,4,3,3,2
diagram_29.png,1,5,5,5,3
diagram_290.png,1,5,4,4,3
diagram_291.png,1,5,4,4,4
diagram_292.png,1,6,5,5,3
diagram_293.png,3,3,9,7,1
diagram_294.png,2,2,5,4,4
diagram_295.png,1,5,4,4,1
diagram_296.png,1,5,4,4,4
diagram_297.png,0,6,2,3,2
diagram_298.png,1,4,3,3,4
diagram_299.png,2,5,5,4,1
diagram_3.png,1,4,3,3,2
diagram_30.png,1,5,5,5,1
diagram_300.png,1,6,5,5,3
diagram_301.png,2,6,7,6,1
diagram_302.png,3,4,8,6,1
diagram_303.png,1,6,4,4,2
diagram_304.png,1,5,5,5,3
diagram_305.png,0,3,0,1,2
diagram_306.png,1,3,3,3,1
diagram_307.png,1,5,5,5,1
diagram_308.png,2,4,5,4,1
diagram_309.png,2,6,7,6,1
diagram_31.png,1,5,5,5,3
diagram_310.png,1,4,4,4,3
diagram_311.png,3,2,8,6,1
diagram_312.png,1,4,4,4,2
diagram_313.png,0,6,2,3,2
diagram_314.png,2,4,6,5,1
diagram_315.png,1,6,4,4,3
diagram_316.png,1,4,3,3,3
diagram_317.png,3,4,8,6,1
diagram_318.png,1,4,3,3,1
diagram_319.png,1,3,2,2,1
diagram_32.png,1,5,5,5,1
diagram_320.png,1,4,3,3,1
diagram_321.png,1,5,4,4,4
diagram_322.png,0,5,1,2,1
diagram_323.png,1,4,4,4,3
diagram_33.png,1,4,3,3,1
diagram_34.png,1,4,4,4,4
diagram_35.png,1,3,2,2,3
diagram_36.png,3,4,9,7,1
diagram_37.png,3,4,8,6,1
diagram_38.png,3,4,8,6,1
diagram_39.png,1,5,4,4,2
diagram_4.png,1,5,5,5,4
diagram_40.png,2,3,5,4,1
diagram_41.png,1,4,4,4,2
diagram_42.png,0,6,2,3,1
diagram_43.png,2,4,6,5,1
diagram_44.png,1,6,5,5,3
diagram_45.png,1,5,3,3,2
diagram_46.png,1,5,4,4,1
diagram_47.png,2,4,5,4,1
diagram_48.png,0,6,2,3,1
diagram_49.png,1,3,3,3,2
diagram_5.png,2,4,5,4,1
diagram_50.png,0,6,2,3,1
diagram_51.png,2,3,5,4,1
diagram_52.png,1,5,4,4,1
diagram_53.png,1,6,5,5,3
diagram_54.png,1,4,4,4,1
diagram_55.png,0,6,2,3,1
diagram_56.png,2,2,5,4,3
diagram_57.png,1,5,4,4,1
diagram_58.png,0,6,2,3,1
diagram_59.png,1,6,6,6,1
diagram_6.png,2,6,7,6,1
diagram_60.png,3,2,8,6,1
diagram_61.png,0,6,2,3,1
diagram_62.png,1,6,5,5,3
diagram_63.png,1,4,4,4,1
diagram_64.png,1,6,4,4,1
diagram_65.png,2,6,6,5,1
diagram_66.png,1,5,5,5,1
diagram_67.png,1,5,3,3,2
diagram_68.png,0,6,2,3,2
diagram_69.png,1,4,4,4,3
diagram_7.png,1,6,5,5,1
diagram_70.png,0,6,1,2,1
diagram_71.png,1,4,4,4,1
diagram_72.png,1,4,3,3,2
diagram_73.png,2,4,7,6,1
diagram_74.png,1,4,4,4,2
diagram_75.png,2,2,5,4,3
diagram_76.png,0,6,2,3,2
diagram_77.png,1,4,4,4,3
diagram_78.png,1,4,4,4,3
diagram_79.png,1,4,3,3,3
diagram_8.png,1,6,5,5,3
diagram_80.png,0,6,2,3,2
diagram_81.png,2,6,7,6,1
diagram_82.png,0,5,1,2,1
diagram_83.png,0,6,2,3,1
diagram_84.png,1,6,5,5,3
diagram_85.png,1,5,5,5,3
diagram_86.png,1,5,4,4,3
diagram_87.png,1,4,2,2,1
diagram_88.png,2,3,5,4,1
diagram_89.png,2,4,5,4,1
diagram_9.png,2,2,5,4,3
diagram_90.png,3,3,8,6,1
diagram_91.png,1,5,5,5,3
diagram_92.png,1,6,5,5,1
diagram_93.png,2,2,5,4,1
diagram_94.png,2,2,4,3,2
diagram_95.png,1,5,5,5,4
diagram_96.png,2,6,7,6,1
diagram_97.png,0,6,1,2,1
diagram_98.png,3,4,7,5,1
diagram_99.png,1,6,4,4,2
