,src,What is the content of this image?,Does this image show a Feynman diagram(s)?
CPT_vertex_correction2.jpg,yes_single,,True
spin_connection1.jpg,yes_single,,True
treeleveldiagram.jpg,yes_single,,True
try1.jpg,yes_single,,True
actafig39.jpg,yes_single,,True
Untitledx.jpg,yes_single,,True
M2bis.jpg,yes_single,,True
dg.jpg,yes_single,,True
TikzTest.jpg,yes_single,,True
usedmomenta.jpg,yes_single,,True
D7.jpg,yes_single,,True
lv_2.jpg,yes_single,,True
wbf_tautau_diag.jpg,yes_single,,True
WH_lvbb_new.jpg,yes_single,,True
AFF.jpg,yes_single,,True
annihilationWW.jpg,yes_single,,True
wilsonloop.jpg,yes_single,,True
20161016-Fig1.jpg,yes_single,,True
Smuons.jpg,yes_single,,True
TOPQ-2015-01-fig_01.jpg,yes_single,,True
twoLoopPlanGen.jpg,yes_single,,True
massless3pointf2.jpg,yes_single,,True
doc2.jpg,yes_single,,True
annih.jpg,yes_single,,True
WH_redraw.jpg,yes_single,,True
theoretical.jpg,yes_single,,True
singletop_t-ch_2to3.jpg,yes_single,,True
WheelwCT.jpg,yes_single,,True
zu3.jpg,yes_single,,True
2-loop-Z3-based.jpg,yes_single,,True
Tblv.jpg,yes_single,,True
zy0_decayed.jpg,yes_single,,True
tmass1.jpg,yes_single,,True
lrsm_feynman.jpg,yes_single,,True
30027f010_v2.jpg,yes_single,,True
dilep_diag.jpg,yes_single,,True
m2.jpg,yes_single,,True
d10-181f2a.jpg,yes_single,,True
Z4l.jpg,yes_single,,True
main-figure36.jpg,yes_single,,True
Feynman_monoPh.jpg,yes_single,,True
theta13_lfv_a.jpg,yes_single,,True
WWfusion.jpg,yes_single,,True
0n2bRH.jpg,yes_single,,True
wpm.jpg,yes_single,,True
sl-sketch.jpg,yes_single,,True
Feynman_diagrams-figure1.jpg,yes_single,,True
sjmueller_fig2.jpg,yes_single,,True
Worldline_n.jpg,yes_single,,True
active-sterile.jpg,yes_single,,True
1-loop.jpg,yes_single,,True
1-loop-Z2-based.jpg,yes_single,,True
M36vertices.jpg,yes_single,,True
diff_ampli.jpg,yes_single,,True
virtualdiagram-crop.jpg,yes_single,,True
sterile.jpg,yes_single,,True
Feynman_diagram_hyperon.jpg,yes_single,,True
D3.jpg,yes_single,,True
M0Posebno.jpg,yes_single,,True
076.jpg,yes_single,,True
ZpFeyn.jpg,yes_single,,True
A_topology.jpg,yes_single,,True
diagram_zll.jpg,yes_single,,True
dis.jpg,yes_single,,True
TGC.jpg,yes_single,,True
Stimemitgamma.jpg,yes_single,,True
VBFdiagram.jpg,yes_single,,True
M1M2l1l2.jpg,yes_single,,True
lpm.jpg,yes_single,,True
50_scattering_kinemat.jpg,yes_single,,True
Zprimeg.jpg,yes_single,,True
sneutrinoann.jpg,yes_single,,True
vacuum-cherenkov-radiation.jpg,yes_single,,True
Unparticle.jpg,yes_single,,True
Dark_Photon_Chit_t_phi_to_photons_semileptonic_decay_Update.jpg,yes_single,,True
susy.jpg,yes_single,,True
0-order.jpg,yes_single,,True
conversion-diagram.jpg,yes_single,,True
ZDMDM.jpg,yes_multiple,,True
top.jpg,yes_multiple,,True
top-prod-sm.jpg,yes_multiple,,True
yetoHmNtoFS.jpg,yes_multiple,,True
sp2andhiggstoaa_paper.jpg,yes_multiple,,True
D_virtual2.jpg,yes_multiple,,True
1.jpg,yes_multiple,,True
toppair1.jpg,yes_multiple,,True
current_diagrams.jpg,yes_multiple,,True
softfunction_diagrams.jpg,yes_multiple,,True
loops.jpg,yes_multiple,,True
vacuumbasis5looptop.jpg,yes_multiple,,True
WinoPion.jpg,yes_multiple,,True
majorana_topologias.jpg,yes_multiple,,True
63166Fig1.jpg,yes_multiple,,True
rad_pen.jpg,yes_multiple,,True
Diaghdiphotons.jpg,yes_multiple,,True
Uexpansion.jpg,yes_multiple,,True
Mainz-ISI-PLB-Fig1.jpg,yes_multiple,,True
QSC-2l.jpg,yes_multiple,,True
softwebs.jpg,yes_multiple,,True
Rad-corr-1.jpg,yes_multiple,,True
T4Q.jpg,yes_multiple,,True
single-top-production.jpg,yes_multiple,,True
triangle.jpg,yes_multiple,,True
ups_em_decay.jpg,yes_multiple,,True
diagrams_C78_de.jpg,yes_multiple,,True
WZGraph.jpg,yes_multiple,,True
ZZVdiagrams.jpg,yes_multiple,,True
eett.jpg,yes_multiple,,True
74a.jpg,yes_multiple,,True
virtual.jpg,yes_multiple,,True
dim6.jpg,yes_multiple,,True
universe3.jpg,yes_multiple,,True
w_flavourchange.jpg,yes_multiple,,True
VanderDonckt_Muriel.fig2.jpg,yes_multiple,,True
LSZ.jpg,yes_multiple,,True
specific_portals.jpg,yes_multiple,,True
MassModel2.jpg,yes_multiple,,True
y.jpg,yes_multiple,,True
wwaa.jpg,yes_multiple,,True
SM_feynman_diagram_NEW.jpg,yes_multiple,,True
YMphi3diagrams.jpg,yes_multiple,,True
XXtobb1loop_feyndiag.jpg,yes_multiple,,True
diagram-1.jpg,yes_multiple,,True
radiative.jpg,yes_multiple,,True
feynman_ilc.jpg,yes_multiple,,True
matching.jpg,yes_multiple,,True
loopfs.jpg,yes_multiple,,True
topology-2.jpg,yes_multiple,,True
DiagTmodel1.jpg,yes_multiple,,True
weak.jpg,yes_multiple,,True
Z_hadronic_decay_2.jpg,yes_multiple,,True
TreeDiagrams.jpg,yes_multiple,,True
ZprimeFeynRules_fermions.jpg,yes_multiple,,True
SketchDiagrams.jpg,yes_multiple,,True
SL.jpg,yes_multiple,,True
zorro_with_2loop_HTL.jpg,yes_multiple,,True
Typetwoseesaw.jpg,yes_multiple,,True
FeynmanGraphsETHZ.jpg,yes_multiple,,True
feynqg1.jpg,yes_multiple,,True
SingleTop_feynman.jpg,yes_multiple,,True
zasas.jpg,yes_multiple,,True
DiagramMuon.jpg,yes_multiple,,True
dias_c3.jpg,yes_multiple,,True
ZnnBG.jpg,yes_multiple,,True
Xg.jpg,yes_multiple,,True
uv_model.jpg,yes_multiple,,True
timeintneutral_diagram.jpg,yes_multiple,,True
Macro2micro_figs_v2.jpg,yes_multiple,,True
syk24ladders.jpg,yes_multiple,,True
wfr.jpg,yes_multiple,,True
radcorr.jpg,yes_multiple,,True
Contrac.jpg,yes_multiple,,True
zp70v3fig4.jpg,yes_multiple,,True
twodiagram_fig5.jpg,yes_multiple,,True
ustch.jpg,yes_multiple,,True
many-graphs.jpg,yes_multiple,,True
feynman2.jpg,yes_multiple,,True
Feynman_diagrams_DD.jpg,yes_multiple,,True
diagrams_real.jpg,yes_multiple,,True
zzdiagram.jpg,yes_multiple,,True
MesonBdecay.jpg,yes_multiple,,True
SingleCusto_graph.jpg,yes_multiple,,True
wwbg.jpg,yes_multiple,,True
twoloopdiagrams.jpg,yes_multiple,,True
feynmanfigure.jpg,yes_multiple,,True
strong1.jpg,yes_multiple,,True
Susc.jpg,yes_multiple,,True
d1.jpg,yes_multiple,,True
zzz-2loop.jpg,yes_multiple,,True
fig_1.jpg,yes_multiple,,True
1loopexpand.jpg,yes_multiple,,True
Wbbd.jpg,yes_multiple,,True
Feynmandiags.jpg,yes_multiple,,True
mesonmix.jpg,yes_multiple,,True
XXff.jpg,yes_multiple,,True
Diagram-3.jpg,yes_multiple,,True
Diagramme_Tensorstrom.jpg,yes_multiple,,True
LP-Fig3.jpg,yes_multiple,,True
zp70v3fig2.jpg,yes_multiple,,True
WMDMGDiagrams.jpg,yes_multiple,,True
sixVs.jpg,yes_multiple,,True
super-diags.jpg,yes_multiple,,True
SUSYEW.jpg,yes_multiple,,True
Y4630.jpg,yes_multiple,,True
ZZ1_and_2.jpg,yes_multiple,,True
WW-feynman.jpg,yes_multiple,,True
1loop_umdm.jpg,yes_multiple,,True
x1.jpg,yes_multiple,,True
1a.jpg,yes_multiple,,True
sloops.jpg,yes_multiple,,True
Zhdiagrams.jpg,yes_multiple,,True
1loop_d_feynman_diagram.jpg,yes_multiple,,True
LR-gauge-boxes.jpg,yes_multiple,,True
sub2ph2.jpg,yes_multiple,,True
singles.jpg,yes_multiple,,True
LQ_pair_production.jpg,yes_multiple,,True
top_pingos.jpg,yes_multiple,,True
Ward_qqgg_inf_c.jpg,yes_multiple,,True
stau2stau1h.jpg,yes_multiple,,True
w2j.jpg,yes_multiple,,True
zy1_decayed.jpg,yes_multiple,,True
diagrams_graviton.jpg,yes_multiple,,True
Zhhdiagrams.jpg,yes_multiple,,True
tbH-prod.jpg,yes_multiple,,True
cp_vert_loop_5d.jpg,yes_multiple,,True
lsm03.jpg,yes_multiple,,True
