,integral
diagram_242.png,D
diagram_243.png,D
diagram_244.png,C
diagram_245.png,C
diagram_246.png,C
diagram_247.png,A
diagram_248.png,B
diagram_249.png,D
diagram_25.png,C
diagram_250.png,A
diagram_251.png,B
diagram_252.png,D
diagram_253.png,D
diagram_254.png,D
diagram_255.png,C
diagram_256.png,A
diagram_257.png,D
diagram_258.png,C
diagram_259.png,A
diagram_26.png,A
diagram_260.png,C
diagram_261.png,A
diagram_262.png,A
diagram_263.png,A
diagram_264.png,B
diagram_265.png,C
diagram_266.png,D
diagram_267.png,C
diagram_268.png,D
diagram_269.png,D
diagram_27.png,D
diagram_270.png,A
diagram_271.png,B
diagram_272.png,C
diagram_273.png,A
diagram_274.png,A
diagram_275.png,C
diagram_276.png,C
diagram_277.png,B
diagram_278.png,D
diagram_279.png,D
diagram_28.png,D
diagram_280.png,C
diagram_281.png,C
diagram_282.png,B
diagram_283.png,D
diagram_284.png,A
diagram_285.png,B
diagram_286.png,B
diagram_287.png,D
diagram_288.png,B
diagram_289.png,A
diagram_29.png,B
diagram_290.png,D
diagram_291.png,B
diagram_292.png,D
diagram_293.png,C
diagram_294.png,B
diagram_295.png,C
diagram_296.png,B
diagram_297.png,C
diagram_298.png,D
diagram_299.png,D
diagram_3.png,D
diagram_30.png,C
diagram_300.png,D
diagram_301.png,D
diagram_302.png,C
diagram_303.png,B
diagram_304.png,B
diagram_305.png,D
diagram_306.png,B
diagram_307.png,A
diagram_308.png,A
diagram_309.png,B
diagram_31.png,C
diagram_310.png,D
diagram_311.png,D
diagram_312.png,C
diagram_313.png,B
diagram_314.png,A
diagram_315.png,B
diagram_316.png,B
diagram_317.png,B
diagram_318.png,A
diagram_319.png,A
diagram_32.png,D
diagram_320.png,B
diagram_321.png,D
diagram_322.png,B
diagram_323.png,A
diagram_33.png,A
diagram_34.png,A
diagram_35.png,A
diagram_36.png,C
diagram_37.png,B
diagram_38.png,B
diagram_39.png,D
diagram_4.png,C
diagram_40.png,A
diagram_41.png,C
diagram_42.png,D
diagram_43.png,B
diagram_44.png,D
diagram_45.png,C
diagram_46.png,B
diagram_47.png,C
diagram_48.png,A
diagram_49.png,B
diagram_5.png,C
diagram_50.png,C
diagram_51.png,C
diagram_52.png,C
diagram_53.png,A
diagram_54.png,B
diagram_55.png,B
diagram_56.png,D
diagram_57.png,C
diagram_58.png,C
diagram_59.png,A
diagram_6.png,B
diagram_60.png,A
diagram_61.png,B
diagram_62.png,B
diagram_63.png,B
diagram_64.png,C
diagram_65.png,B
diagram_66.png,D
diagram_67.png,A
diagram_68.png,B
diagram_69.png,C
diagram_7.png,B
diagram_70.png,A
diagram_71.png,C
diagram_72.png,B
diagram_73.png,A
diagram_74.png,B
diagram_75.png,C
diagram_76.png,C
diagram_77.png,B
diagram_78.png,C
diagram_79.png,D
diagram_8.png,A
diagram_80.png,D
diagram_81.png,A
diagram_82.png,C
diagram_83.png,B
diagram_84.png,B
diagram_85.png,B
diagram_86.png,A
diagram_87.png,A
diagram_88.png,A
diagram_89.png,A
diagram_9.png,C
diagram_90.png,C
diagram_91.png,A
diagram_92.png,D
diagram_93.png,C
diagram_94.png,B
diagram_95.png,C
diagram_96.png,A
diagram_97.png,A
diagram_98.png,B
diagram_99.png,B
